City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
151,Vostok,RU,2022-04-17 10:09:25,46.4856,135.8833,28.0,80,45,2.04,light snow
152,Thompson,CA,2022-04-17 10:07:41,55.7435,-97.8558,13.51,96,100,3.85,overcast clouds
153,San Cristobal,VE,2022-04-17 10:09:26,7.7669,-72.225,66.7,88,100,1.34,overcast clouds
154,Liverpool,GB,2022-04-17 10:08:09,53.4106,-2.9779,62.89,64,0,12.66,clear sky
155,Tolaga Bay,NZ,2022-04-17 10:09:26,-38.3667,178.3,59.36,73,100,7.07,overcast clouds
156,Bani,DO,2022-04-17 10:09:27,18.2833,-70.3333,71.35,78,51,6.11,broken clouds
157,Kaitangata,NZ,2022-04-17 10:09:27,-46.2817,169.8464,46.89,94,97,5.75,overcast clouds
158,Hasaki,JP,2022-04-17 10:09:27,35.7333,140.8333,57.29,66,100,9.06,overcast clouds
159,Zharkent,KZ,2022-04-17 10:09:27,44.1628,80.0,80.42,8,3,4.5,clear sky
160,Palmer,US,2022-04-17 10:09:28,42.1584,-72.3287,38.44,77,0,12.66,clear sky
161,Nizwa,OM,2022-04-17 10:08:19,22.9333,57.5333,101.79,9,47,15.41,scattered clouds
162,Kavieng,PG,2022-04-17 10:09:28,-2.5744,150.7967,83.39,72,90,14.14,overcast clouds
163,Vardo,NO,2022-04-17 10:09:29,70.3705,31.1107,38.03,85,99,21.23,overcast clouds
164,San Rafael Del Sur,NI,2022-04-17 10:09:29,11.8485,-86.4384,76.55,61,87,10.65,overcast clouds
165,Qaqortoq,GL,2022-04-17 10:09:29,60.7167,-46.0333,28.96,84,100,2.89,overcast clouds
166,Palu,ID,2022-04-17 10:09:30,-0.8917,119.8707,78.84,92,99,1.77,overcast clouds
167,Moron,AR,2022-04-17 10:09:30,-34.6534,-58.6198,64.96,87,95,1.77,overcast clouds
168,Keningau,MY,2022-04-17 10:09:30,5.3378,116.1602,76.69,90,56,2.26,broken clouds
169,Saint Anthony,US,2022-04-17 10:09:30,45.0205,-93.218,28.26,72,0,0.0,clear sky
170,Sarlat-La-Caneda,FR,2022-04-17 10:09:31,44.889,1.2166,65.39,51,0,0.74,clear sky
171,Kyra,RU,2022-04-17 10:09:31,49.5776,111.9753,51.37,38,100,12.93,overcast clouds
172,Tessalit,ML,2022-04-17 10:09:31,20.1986,1.0114,78.31,19,96,13.35,overcast clouds
173,Geraldton,AU,2022-04-17 10:09:32,-28.7667,114.6,70.21,60,64,18.41,broken clouds
174,Airai,TL,2022-04-17 10:09:32,-8.9266,125.4092,62.56,97,100,2.44,light rain
175,Chokurdakh,RU,2022-04-17 10:09:32,70.6333,147.9167,-3.93,98,17,5.64,few clouds
176,Lompoc,US,2022-04-17 10:09:33,34.6391,-120.4579,53.78,87,100,25.01,mist
177,Kununurra,AU,2022-04-17 10:09:33,-15.7667,128.7333,89.58,55,67,5.75,broken clouds
178,Ambilobe,MG,2022-04-17 10:09:33,-13.2,49.05,91.08,43,1,1.28,clear sky
179,Beloha,MG,2022-04-17 10:09:31,-25.1667,45.05,89.08,46,38,10.36,scattered clouds
180,Kirakira,SB,2022-04-17 10:10:34,-10.4544,161.9205,80.15,81,100,4.38,overcast clouds
181,Awassa,ET,2022-04-17 10:10:35,7.05,38.4667,79.38,42,98,4.23,overcast clouds
182,Poltavka,RU,2022-04-17 10:10:35,54.3663,71.7632,59.86,34,7,8.21,clear sky
183,Mogadishu,SO,2022-04-17 10:10:36,2.0371,45.3438,87.17,66,55,15.73,broken clouds
184,Kars,TR,2022-04-17 10:06:37,40.602,43.095,55.85,33,0,5.75,clear sky
185,Abu Kamal,SY,2022-04-17 10:10:37,34.4506,40.9171,80.69,14,1,4.83,clear sky
186,Miri,MY,2022-04-17 10:07:20,4.4148,114.0089,82.53,75,95,7.47,overcast clouds
187,Mayo,US,2022-04-17 10:10:38,38.8876,-76.5119,51.75,62,100,8.05,overcast clouds
