City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
509,Prachuap Khiri Khan,TH,88.47,broken clouds,12.2167,99.75,ผกากรองรีสอร์ท
510,Zhezkazgan,KZ,76.98,clear sky,47.8043,67.7144,Hotel Zumrat
517,Male,MV,84.31,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
520,Remanso,BR,76.17,broken clouds,-9.6179,-42.0831,Hotel Mangueira
524,Jiblah,YE,75.78,broken clouds,13.9216,44.1467,Tiger Tower Hotel
525,Gorontalo,ID,76.98,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
526,Ginda,IN,82.27,scattered clouds,30.6945,78.4932,Sunil Bisht
538,Liwonde,MW,83.5,broken clouds,-15.0506,35.2035,Sun Village Hotel
539,Payo,ID,80.82,broken clouds,-3.7508,103.6372,Mess keban agung
544,Santa Rosa,PH,84.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
546,Mangan,IN,80.64,broken clouds,27.5167,88.5333,Hotel Mout View
547,Castanos,MX,78.35,broken clouds,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
550,Tanete,ID,79.21,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
554,Kiunga,PG,76.8,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
561,Tezu,IN,82.74,scattered clouds,27.9167,96.1667,Circuit House
565,Porto Novo,BJ,89.91,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
566,Namibe,AO,79.43,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
573,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
575,Uige,AO,79.47,overcast clouds,-7.6087,15.0613,Hotel Catraio
579,Saint-Georges,GD,78.48,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
580,Acajutla,SV,80.44,broken clouds,13.5928,-89.8275,Laureles
582,Itarema,BR,77.77,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
584,Tecoanapa,MX,76.24,broken clouds,16.5167,-98.75,Hotel Manglares
